trp_multiplayer_profile_troop_male|profil gry wieloosobowej żołnierz mężczyzna
trp_multiplayer_profile_troop_male_pl|profil gry wieloosobowej żołnierz mężczyzna
trp_multiplayer_profile_troop_female|profil gry wieloosobowej żołnierz kobieta
trp_multiplayer_profile_troop_female_pl|profil gry wieloosobowej żołnierz kobieta
trp_temp_troop|Oddział pomocniczy
trp_temp_troop_pl|Oddziały pomocnicze
trp_find_item_cheat|oszustwo odnajdywanie przedmiotów
trp_find_item_cheat_pl|oszustwo odnajdywanie przedmiotów
trp_random_town_sequence|Losowa sekwencja miejska
trp_random_town_sequence_pl|Losowe sekwencje miejskie
trp_tournament_participants|Uczestnik turnieju
trp_tournament_participants_pl|Uczestnicy turnieju
trp_tutorial_maceman|Wekiernik
trp_tutorial_maceman_pl|Wekierników
trp_tutorial_archer|Łucznik
trp_tutorial_archer_pl|Łuczników
trp_tutorial_swordsman|Fechmistrz
trp_tutorial_swordsman_pl|Fechmistrzów
trp_novice_fighter|Początkujący wojownik
trp_novice_fighter_pl|Początkujących wojowników
trp_regular_fighter|Zawodowy wojownik
trp_regular_fighter_pl|Zawodowych wojowników
trp_veteran_fighter|Doświadczony wojownik
trp_veteran_fighter_pl|Doświadczonych wojowników
trp_champion_fighter|Mistrzowski wojownik
trp_champion_fighter_pl|Mistrzowskich wojowników
trp_arena_training_fighter_1|Początkujący wojownik
trp_arena_training_fighter_1_pl|Początkujących wojowników
trp_arena_training_fighter_2|Początkujący wojownik
trp_arena_training_fighter_2_pl|Początkujących wojowników
trp_arena_training_fighter_3|Zawodowy wojownik
trp_arena_training_fighter_3_pl|Zawodowych wojowników
trp_arena_training_fighter_4|Zawodowy wojownik
trp_arena_training_fighter_4_pl|Zawodowych wojowników
trp_arena_training_fighter_5|Zawodowy wojownik
trp_arena_training_fighter_5_pl|Zawodowych wojowników
trp_arena_training_fighter_6|Doświadczony wojownik
trp_arena_training_fighter_6_pl|Doświadczonych wojowników
trp_arena_training_fighter_7|Doświadczony wojownik
trp_arena_training_fighter_7_pl|Doświadczonych wojowników
trp_arena_training_fighter_8|Doświadczony wojownik
trp_arena_training_fighter_8_pl|Doświadczonych wojowników
