itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|Włócznia
itm_tutorial_spear_pl|Włócznie
itm_tutorial_club|Pałka
itm_tutorial_club_pl|Pałki
itm_tutorial_battle_axe|Topór bitewny
itm_tutorial_battle_axe_pl|Topory bitewne
itm_tutorial_arrows|Strzały
itm_tutorial_arrows_pl|Strzały
itm_tutorial_bolts|Bełty
itm_tutorial_bolts_pl|Bełty
itm_tutorial_short_bow|Krótki łuk
itm_tutorial_short_bow_pl|Krótkie łuki
itm_tutorial_crossbow|Kusza
itm_tutorial_crossbow_pl|Kusze
itm_tutorial_throwing_daggers|Sztylety do rzucania
itm_tutorial_throwing_daggers_pl|Sztylety do rzucania
itm_tutorial_saddle_horse|Ujeżdżony koń
itm_tutorial_saddle_horse_pl|Ujeżdżone konie
itm_tutorial_shield|Tarcza migdałowa
itm_tutorial_shield_pl|Tarcze migdałowe
itm_tutorial_staff_no_attack|Kij
itm_tutorial_staff_no_attack_pl|Kije
itm_tutorial_staff|Kij
itm_tutorial_staff_pl|Kije
itm_tutorial_sword|Miecz
itm_tutorial_sword_pl|Miecze
itm_tutorial_axe|Topór
itm_tutorial_axe_pl|Topory
itm_tutorial_dagger|Sztylet
itm_tutorial_dagger_pl|Szylety
itm_horse_meat|Końskie mięso
itm_horse_meat_pl|Końskie mięsa
itm_practice_axe|Topór ćwiczebny
itm_practice_axe_pl|Topory ćwiczebne
itm_practice_dagger|Sztylet ćwiczebny
itm_practice_dagger_pl|Sztylety ćwiczebne
itm_practice_lance|Lanca ćwiczebna
itm_practice_lance_pl|Lance ćwiczebne
itm_practice_staff|Kij ćwiczebny
itm_practice_staff_pl|Kije ćwiczebne
itm_practice_sword|Miecz ćwiczebny
itm_practice_sword_pl|Miecze ćwiczebne
itm_practice_sword_heavy|Ciężki Miecz ćwiczebny
itm_practice_sword_heavy_pl|Ciężkie Miecze ćwiczebne
itm_practice_arrows|Strzały ćwiczebne
itm_practice_arrows_pl|Strzały ćwiczebne
itm_practice_arrows_10_amount|Strzały ćwiczebne
itm_practice_arrows_10_amount_pl|Strzały ćwiczebne
itm_practice_arrows_100_amount|Strzały ćwiczebne
itm_practice_arrows_100_amount_pl|Strzały ćwiczebne
itm_practice_bolts|Bełty ćwiczebne
itm_practice_bolts_pl|Bełty ćwiczebne
itm_practice_bolts_9_amount|Bełty ćwiczebne
itm_practice_bolts_9_amount_pl|Bełty ćwiczebne
itm_practice_bow|Łuk ćwiczenby
itm_practice_bow_pl|Łuki ćwiczebne
itm_practice_crossbow|Kusza ćwiczebna
itm_practice_crossbow_pl|Kusze ćwiczebne
itm_practice_javelin|Oszczepy ćwiczebne
itm_practice_javelin_pl|Oszczepy ćwiczebne
itm_practice_javelin_melee|Ćwiczebny oszczep do walki wręcz
itm_practice_javelin_melee_pl|Ćwiczebne oszczepy do walki wręcz
itm_practice_throwing_daggers|Ćwiczebne sztylety do rzucania
itm_practice_throwing_daggers_pl|Ćwiczebne sztylety do rzucania
itm_practice_throwing_daggers_100_amount|Ćwiczebne sztylety do rzucania
itm_practice_throwing_daggers_100_amount_pl|Ćwiczebne sztylety do rzucania
itm_practice_boots|Buty ćwiczebne
itm_practice_boots_pl|Buty ćwiczebne
itm_practice_horse|Koń ćwiczebny
itm_practice_horse_pl|Konie ćwiczebne
itm_practice_shield|Tarcza ćwiczebna
itm_practice_shield_pl|Tarcze ćwiczebne
itm_arena_axe|Topór
itm_arena_axe_pl|Topory
itm_arena_sword|Miecz
itm_arena_sword_pl|Miecze
itm_arena_sword_two_handed|Miecz 2-ręczny
itm_arena_sword_two_handed_pl|Miecze 2-ęczne
itm_arena_lance|Lanca
itm_arena_lance_pl|Lance
itm_arena_shield_red|Tarcza
itm_arena_shield_red_pl|Tarcze
itm_arena_shield_blue|Tarcza
itm_arena_shield_blue_pl|Tarcze
itm_arena_shield_green|Tarcza
itm_arena_shield_green_pl|Tarcze
itm_arena_shield_yellow|Tarcza
itm_arena_shield_yellow_pl|Tarcze
itm_arena_armor_white|Biała zbroja turniejowa
itm_arena_armor_white_pl|Białe zbroje turniejowe
itm_arena_armor_red|Czerwona zbroja turniejowa
itm_arena_armor_red_pl|Czerwone zbroje turniejowe
itm_arena_armor_blue|Niebieska zbroja turniejowa
itm_arena_armor_blue_pl|Niebieskie zbroje turniejowe
itm_arena_armor_green|Zielona zbroja turniejowa
itm_arena_armor_green_pl|Zielone zbroje turniejowe
itm_arena_armor_yellow|Żółta zbroja turniejowa
itm_arena_armor_yellow_pl|Żółte zbroje turniejowe
itm_arena_tunic_white|Biała tunika turniejowa
itm_arena_tunic_white_pl|Białe tuniki turniejowe
itm_arena_tunic_red|Czerwona tunika turniejowa
